task_id,formula,formation_energy_per_atom,e_above_hull,band_gap
mp-29395,NaAlI4,-0.901554551,0,3.4482
mp-567252,Nb3Se12I,-0.562346921,0.000782638,0.0849
mp-569066,Cs2PdI6,-0.79272759,0.005466334,0.2121
mp-1205548,KSrI3,-1.629040108,0,3.731
mp-1209667,Rb2LaI5,-1.543895749,0,2.7167
mp-567320,La5C2I9,-1.332067771,0.012054979,1.4397
mp-770579,LaMgI5,-1.2510841,0.09148501,2.5974
mp-1178507,BaSrI4,-1.720518166,0.036413564,3.5493
mp-29956,Hg3(SI)2,-0.409367992,0,1.3129
mp-675237,Na3GdI6,-1.333094796,0,1.5033
mp-676121,Ag3SI,-0.219939335,0.060743516,0.3739
mp-1192802,Cs2ZnI4,-1.180219368,0.001924106,3.2389
mp-1209894,NdSI,-2.001665863,0,2.0284
mp-557101,Sn(S4I)4,-0.594767213,0,1.7663
mp-570306,TlGaI4,-0.600078136,0,2.5487
mp-755977,CaPbI4,-1.110662531,0.050125268,2.7905
mp-1112962,Cs3YI6,-1.473541429,0.031627861,3.3564
mp-23504,Sr2InI5,-1.357036015,0.045966163,2.7625
mp-754736,BaSr3I8,-1.700568468,0.035151335,3.1394
mp-29996,La3PI3,-1.500129913,0,0
mp-541751,Ni4(Bi4I)3,-0.119586012,0,0
mp-569764,RbCu2I3,-0.598298827,0.002774676,2.0713
mp-570477,LaSmI4,-1.238871755,0.109855672,0
mp-685901,K4Pt2I9,-0.817000214,0.058132434,0
mp-772862,BaSr2I6,-1.712504718,0.030285728,3.4355
mp-780396,SrCa2I6,-1.632445681,0.037205384,3.711
mp-1190033,Tb7MnI12,-1.159423438,0,0
mp-1209441,Rb2MnI4,-1.076873067,0,2.0813
mp-772032,Sr2LaI7,-1.573259877,0.076426519,2.7846
mp-1096925,CsBaI3,-1.699247801,0,3.6246
mp-1206385,TmSeI,1.27395775,2.90891481,0.095
mp-645326,Al3Bi5I12,-0.47560516,0.024406327,1.2291
mp-1105605,Tb7FeI12,-1.198899272,0,0
mp-28840,Y4RuI5,-1.105324007,0,0.1258
